[-0.30089999999999995, -0.06865, 138.78240000000002, 2, 0.5, 0]
[-0.3006, -0.06865, 138.78240000000002, 2, 0.5, 0]
[-0.30019999999999997, -0.06865, 138.78240000000002, 2, 0.5, 0]
[-0.29969999999999997, -0.06865, 138.78240000000002, 2, 0.5, 0]
[-0.29914999999999997, -0.06865, 138.78240000000002, 2, 0.5, 0]
[-0.2985, -0.06865, 138.78240000000002, 2, 0.5, 0]
[-0.29764999999999997, -0.06865, 138.78240000000002, 2, 0.5, 0]
[-0.30129999999999996, -0.06865, 138.78240000000002, 2, 0.5, 0]
[-0.3016, -0.06865, 138.78240000000002, 2, 0.5, 0]
[-0.30194999999999994, -0.06865, 138.78240000000002, 2, 0.5, 0]
[-0.30234999999999995, -0.06865, 138.78240000000002, 2, 0.5, 0]
[-0.30284999999999995, -0.06865, 138.78240000000002, 2, 0.5, 0]
[-0.30344999999999994, -0.06865, 138.78240000000002, 2, 0.5, 0]
[-0.30415, -0.06865, 138.78240000000002, 2, 0.5, 0]
[-0.30494999999999994, -0.06865, 138.78240000000002, 2, 0.5, 0]
[-0.30594999999999994, -0.06865, 138.78240000000002, 2, 0.5, 0]
[-0.30694999999999995, -0.06865, 138.78240000000002, 2, 0.5, 0]
[-0.30794999999999995, -0.06865, 138.78240000000002, 2, 0.5, 0]
[-0.3091, -0.06865, 138.78240000000002, 2, 0.5, 0]
[-0.31034999999999996, -0.06865, 138.78240000000002, 2, 0.5, 0]
[-0.31194999999999995, -0.06865, 138.78240000000002, 2, 0.5, 0]
[-0.30424999999999996, -0.06865, 138.78240000000002, 2, 0.5, 0]
[-0.30424999999999996, -0.0687, 138.78240000000002, 2, 0.5, 0]
[-0.30424999999999996, -0.0687, 138.78240000000002, 2, 0.5, 0]
