[-0.3, -0.1, 138, 2, 0.5, 0]
[-0.31629999999999997, -0.10965000000000001, 138.43679999999998, 2, 0.5, 0]
[-0.31699999999999995, -0.10965000000000001, 138.43679999999998, 2, 0.5, 0]
[-0.31794999999999995, -0.10965000000000001, 138.43679999999998, 2, 0.5, 0]
[-0.31875, -0.10965000000000001, 138.43679999999998, 2, 0.5, 0]
[-0.3197, -0.10965000000000001, 138.43679999999998, 2, 0.5, 0]
[-0.32054999999999995, -0.10965000000000001, 138.43679999999998, 2, 0.5, 0]
[-0.32149999999999995, -0.10965000000000001, 138.43679999999998, 2, 0.5, 0]
[-0.32249999999999995, -0.10965000000000001, 138.43679999999998, 2, 0.5, 0]
[-0.32354999999999995, -0.10965000000000001, 138.43679999999998, 2, 0.5, 0]
[-0.3247, -0.10965000000000001, 138.43679999999998, 2, 0.5, 0]
[-0.32599999999999996, -0.10965000000000001, 138.43679999999998, 2, 0.5, 0]
[-0.32735, -0.10965000000000001, 138.43679999999998, 2, 0.5, 0]
[-0.3288, -0.10965000000000001, 138.43679999999998, 2, 0.5, 0]
[-0.33409999999999995, -0.10965000000000001, 138.43679999999998, 2, 0.5, 0]
[-0.33554999999999996, -0.10965000000000001, 138.43679999999998, 2, 0.5, 0]
[-0.33704999999999996, -0.10965000000000001, 138.43679999999998, 2, 0.5, 0]
[-0.33859999999999996, -0.10965000000000001, 138.43679999999998, 2, 0.5, 0]
[-0.3288, -0.10965000000000001, 138.43679999999998, 2, 0.5, 0]
[-0.3288, -0.10965000000000001, 138.43679999999998, 2, 0.5, 0]
[-0.3288, -0.10940000000000001, 138.43679999999998, 2, 0.5, 0]
[-0.3288, -0.10910000000000002, 138.43679999999998, 2, 0.5, 0]
[-0.3288, -0.10865000000000001, 138.43679999999998, 2, 0.5, 0]
[-0.3288, -0.10815000000000001, 138.43679999999998, 2, 0.5, 0]
[-0.3288, -0.10750000000000001, 138.43679999999998, 2, 0.5, 0]
[-0.3288, -0.1068, 138.43679999999998, 2, 0.5, 0]
[-0.3288, -0.10375000000000001, 138.43679999999998, 2, 0.5, 0]
[-0.3288, -0.10265, 138.43679999999998, 2, 0.5, 0]
[-0.3288, -0.10140000000000002, 138.43679999999998, 2, 0.5, 0]
