[-0.012, 0.00215, 140.77180000000004, 0.5000000000000009, -0.8, 0.0]
[-0.0125, 0.00215, 140.77180000000004, 0.5000000000000009, -0.8, 0.0]
[-0.013000000000000001, 0.00215, 140.77180000000004, 0.5000000000000009, -0.8, 0.0]
[-0.013600000000000001, 0.00215, 140.77180000000004, 0.5000000000000009, -0.8, 0.0]
[-0.01425, 0.00215, 140.77180000000004, 0.5000000000000009, -0.8, 0.0]
[-0.0149, 0.00215, 140.77180000000004, 0.5000000000000009, -0.8, 0.0]
[-0.01565, 0.00215, 140.77180000000004, 0.5000000000000009, -0.8, 0.0]
[-0.0164, 0.00215, 140.77180000000004, 0.5000000000000009, -0.8, 0.0]
[-0.013000000000000001, 0.00215, 140.77180000000004, 0.5000000000000009, -0.8, 0.0]
[-0.013000000000000001, 0.0021, 140.77180000000004, 0.5000000000000009, -0.8, 0.0]
[-0.013000000000000001, 0.0021, 140.77180000000004, 0.5000000000000009, -0.8, 0.0]
[-0.013000000000000001, 0.00215, 140.77180000000004, 0.5000000000000009, -0.8, 0.0]
[-0.013000000000000001, 0.00235, 140.77180000000004, 0.5000000000000009, -0.8, 0.0]
[-0.013000000000000001, 0.0027, 140.77180000000004, 0.5000000000000009, -0.8, 0.0]
[-0.013000000000000001, 0.0021, 140.77180000000004, 0.5000000000000009, -0.8, 0.0]
[-0.013000000000000001, 0.002, 140.77180000000004, 0.5000000000000009, -0.8, 0.0]
[-0.013000000000000001, 0.0019, 140.77180000000004, 0.5000000000000009, -0.8, 0.0]
[-0.013000000000000001, 0.0017, 140.77180000000004, 0.5000000000000009, -0.8, 0.0]
[-0.013000000000000001, 0.00145, 140.77180000000004, 0.5000000000000009, -0.8, 0.0]
[-0.013000000000000001, 0.00115, 140.77180000000004, 0.5000000000000009, -0.8, 0.0]
[-0.013000000000000001, 0.00075, 140.77180000000004, 0.5000000000000009, -0.8, 0.0]
[-0.013000000000000001, 0.00034999999999999983, 140.77180000000004, 0.5000000000000009, -0.8, 0.0]
[-0.013000000000000001, -0.0010500000000000002, 140.77180000000004, 0.5000000000000009, -0.8, 0.0]
[-0.013000000000000001, -0.0017000000000000001, 140.77180000000004, 0.5000000000000009, -0.8, 0.0]
